OBJECTID,BCE_NM_NOME,BCE_NM_NOMEESTADUAL,BCE_NM_RIOPRINCIPAL,SHAPE_Length,SHAPE_Area
1,,TOCANTINS/ARAGUAIA,,6.72301786922606,0.866269322512611
2,BAIXO TIETÊ,BAIXO TIETE,,5.93342542020998,1.33848929490282
3,ALTO IGUAÇU,ALTO IGUAÇU,,6.60595352247635,0.93181813814784
4,BUTUí/ICAMAQUÃ,BUTUI-ICAMAQUA,,4.70609762682786,0.723676260669721
5,RIO PIRACICABA,RIO PIRACICABA,,4.1404300296509,0.477157945588917
6,VACACAÍ/VACACAÍ MIRIM,VACACAI-VACACAI MIRIM,,4.9986833656355,1.04213102764419
7,,TOCANTINS/ARAGUAIA,,13.5076438757881,2.85017024677003
8,,TOCANTINS/ARAGUAIA,,12.7313627260401,4.40401639922434
9,RIO DOS BOIS / RIO TURVO,RIO DOS BOIS / RIO TURVO,,8.50724912976187,1.95859948854774
10,IBIÇUI,IBIÇUI,,12.161272773338,3.29004800440206
11,ALTO IVAÍ,ALTO IVAI,,7.0056655177537,2.05983506525847
12,PARAOPEBA,CBH DO RIO PARAOPEBA,,7.64455738295092,1.04011589738289
13,PARÁ (MG),CBH DO RIO PARA,,6.69465248075588,1.05580040532847
14,MEIA PONTE , ,,8.09398852248498,1.30589432963254
15,BAIXO JACUÍ,BAIXO JACUI,,9.2800224834476,1.62593202680218
16,GRAVATAÍ,GRAVATAI,,2.03283271990424,0.195683543815274
17,LAGO GUAÍBA,LAGO GUAIBA,,4.33261466734479,0.233193992959296
18,RIO DOURADOS,RIO DOURADOS,,6.15568707558924,0.782763725582247
19,BAIXO IVAÍ,BAIXO IVAI,,5.19233871539165,1.18992610193611
20,GUANDU,GUANDU,,5.09352515945256,0.324535103942673
21,BAIA DE GUANABARA,BAIA DE GUANABARA,,5.68767414701182,0.417446592274416
22,BAIXADA SANTISTA,BAIXADA SANTISTA,,4.54618051536734,0.257015379542026
23,MÉDIO TAPAJÓS, ,,11.5338394187436,2.08925556573906
24,QUARAÍ,QUARAI,,6.73432862783008,0.623421991400169
25,CAMAQUÃ,CAMAQUA,,10.518523817092,2.0407330531356
26,GRANDE SÃO FRANCISCO,RIO GRANDE,,15.8642052020384,6.47862415100492
27,BAIXO TIBAGI,BAIXO TIBAGI,,4.18223660738114,0.787588438629887
28,TIETÊ/JACARÉ,TIETE/JACARE,,5.13009096820099,1.02950094265677
29,RIO SANTO ANTÔNIO,RIO SANTO ANTÔNIO,,5.63217060125023,0.900694326206525
30,RIO GUANDU,RIO GUANDU,,2.34292142729119,0.181160547534217
31,IVINHEMA , ,,9.52328989082138,3.59055604486941
32,,TOCANTINS/ARAGUAIA,,7.40258923573415,1.61513107941131
33,SANTA MARIA,SANTA MARIA,,6.65548294881027,1.48006561608247
34,ALTO TIETÊ,ALTO TIETE,,4.80350164109518,0.517289384826484
35,VELHAS ,CBH DO RIO DAS VELHAS,,10.8719552883345,2.39961149897911
36,MIRIM/SÃO GONÇALO,MIRIM-SAO GONCALO,,13.0352093027447,2.45854215395162
37,PRETO/PARAIBUNA,CBH DOS AFLUENTES MINEIROS DOS RIOSPRETO E PARAIBU,,6.97903966232323,0.62920688484514
38,LONGÁ, ,,8.83475017913374,2.53027109490711
39,TIETÊ/SOROCABA,TIETE/SOROCABA,,6.30853484732047,1.06869482588778
40,SEPOTUBA , ,,6.44373335855837,0.807346613293451
