Nome inventário,Nome padronizado,Código,Número de séries
BARÃO DE MELGAÇO,BARÃO DE MELGAÇO,1655000,17
CÁCERES,CÁCERES,1557002,13
NÃO ENCONTRADO,LAMBARI D’OESTE,-,0
POCONÉ,POCONÉ,1656001,12
NÃO ENCONTRADO,NOSSA SENHORA DO LIVRAMENTO,-,0
NÃO ENCONTRADO,SANTO ANTÔNIO DO LEVERGER,-,0
ITIQUIRA,ITIQUIRA,1754000,6
CORUMBÁ,CORUMBÁ,1755001,27
LADÁRIO,LADÁRIO,1755002,0
AQUIDAUANA,AQUIDAUANA,1755004,9
MIRANDA,MIRANDA,1956005,5
NÃO ENCONTRADO,BODOQUENA,-,0
PORTO MURTINHO,PORTO MURTINHO,2056007,14
LADÁRIO,RIO VERDE DE MATO GROSSO,1755002,0
SONORA,SONORA,1754002,1
COXIM,COXIM,1853002,10
